seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1168015	1168111	97	*	X0001	51150	1152288	1167447	15160	-	567	upstream	567	SDF4
chr1	18081704	18081908	205	*	X0013	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	111506436	111506621	186	*	X0046	55791	111489812	111506566	16755	-	0	overlapStart	0	LRIF1
chr1	111506656	111506736	81	*	X0047	55791	111489812	111506566	16755	-	89	upstream	89	LRIF1
chr1	207097358	207097928	571	*	X0061	9214	207076631	207095378	18748	-	1979	upstream	1979	FCMR
chr2	86667679	86667719	41	*	X0105	55818	86668271	86719839	51569	+	551	upstream	551	KDM3A
chr2	91847931	91847953	23	*	X0124	654342	91805188	91847975	42788	-	0	inside	21	LSP1P4
chr2	91847987	91848037	51	*	X0125	654342	91805188	91847975	42788	-	11	upstream	11	LSP1P4
chr2	114359710	114359842	133	*	X0132	84771	114356605	114359153	2549	-	556	upstream	556	DDX11L2
chr2	114361146	114361502	357	*	X0133	84771	114356605	114359153	2549	-	1992	upstream	1992	DDX11L2
chr2	114737068	114737635	568	*	X0135	100499194	114735246	114737561	2316	-	0	overlapStart	0	LOC100499194
chr2	114737068	114737635	568	*	X0135	440900	114737146	114764887	27742	+	0	overlapStart	0	LINC01191
chr2	120980668	120980705	38	*	X0136	79134	120975047	120980984	5938	-	0	inside	278	TMEM185B
chr2	120980717	120980718	2	*	X0137	79134	120975047	120980984	5938	-	0	inside	265	TMEM185B
chr3	56717414	56717705	292	*	X0181	23272	56654160	56717135	62976	-	278	upstream	278	TASOR
chr3	107810405	107810453	49	*	X0187	961	107761941	107809935	47995	-	469	upstream	469	CD47
chr3	107810477	107810706	230	*	X0188	961	107761941	107809935	47995	-	541	upstream	541	CD47
chr3	127347676	127347696	21	*	X0193	50512	127348002	127391653	43652	+	305	upstream	305	PODXL2
chr3	138153224	138153235	12	*	X0198	83850	138153415	138197256	43842	+	179	upstream	179	ESYT3
chr3	138153285	138153297	13	*	X0199	83850	138153415	138197256	43842	+	117	upstream	117	ESYT3
chr3	138153309	138153393	85	*	X0200	83850	138153415	138197256	43842	+	21	upstream	21	ESYT3
chr3	148804692	148804717	26	*	X0203	6596	148747904	148804341	56438	-	350	upstream	350	HLTF
chr3	170626604	170626929	326	*	X0207	56648	170606204	170626426	20223	-	177	upstream	177	EIF5A2
chr4	53083	53110	28	*	X0217	152687	53227	196092	142866	+	116	upstream	116	ZNF595
chr4	53083	53110	28	*	X0217	255403	53227	156490	103264	+	116	upstream	116	ZNF718
chr4	4228344	4228401	58	*	X0220	133060	4190530	4228621	38092	-	0	inside	219	OTOP1
chr5	23507501	23507587	87	*	X0283	56979	23507724	23528706	20983	+	136	upstream	136	PRDM9
chr5	23507619	23507638	20	*	X0284	56979	23507724	23528706	20983	+	85	upstream	85	PRDM9
chr5	110427706	110427796	91	*	X0301	134430	110427870	110466200	38331	+	73	upstream	73	WDR36
chr5	114880934	114881025	92	*	X0302	56929	114856608	114880591	23984	-	342	upstream	342	FEM1C
chr5	114881040	114881061	22	*	X0303	56929	114856608	114880591	23984	-	448	upstream	448	FEM1C
chr5	140777381	140777448	68	*	X0310	56101	140777695	140892548	114854	+	246	upstream	246	PCDHGB5
chr5	150284294	150284582	289	*	X0311	91975	150273954	150284545	10592	-	0	overlapStart	0	ZNF300
chr5	177209965	177210161	197	*	X0318	285596	177138237	177210399	72163	-	0	inside	237	FAM153A
chr5	177433867	177434308	442	*	X0319	653316	177433967	177476088	42122	+	0	overlapStart	0	FAM153CP
chr5	179499435	179499515	81	*	X0322	55819	179382474	179499109	116636	-	325	upstream	325	RNF130
chr6	144329000	144329582	583	*	X0356	57061	144324034	144329867	5834	-	0	inside	284	HYMAI
chr6	159240763	159240823	61	*	X0358	7430	159186773	159240456	53684	-	306	upstream	306	EZR
chr7	4681344	4681400	57	*	X0373	221937	4683388	4811074	127687	+	1987	upstream	1987	FOXK1
chr7	4681484	4681989	506	*	X0374	221937	4683388	4811074	127687	+	1398	upstream	1398	FOXK1
chr7	5111454	5111785	332	*	X0376	389458	5111691	5112854	1164	+	0	overlapStart	0	RBAKDN
chr7	56174134	56174149	16	*	X0384	51142	56169266	56174187	4922	-	0	inside	37	CHCHD2
chr7	56174267	56174469	203	*	X0385	51142	56169266	56174187	4922	-	79	upstream	79	CHCHD2
